Occupation,Number of workers,Median weekly earnings,Number of male workers,Male median weekly earnings,Number of female workers,Female median weekly earnings
"Management, professional, and related occupations","50,119","1,309","24,260","1,539","25,859","1,135"
"Management, business, and financial operations occupations","20,696","1,415","11,111","1,598","9,585","1,221"
Management occupations,"13,948","1,478","8,002","1,659","5,946","1,266"
Chief executives,"1,113","2,380",812,"2,509",302,"2,019"
General and operations managers,990,"1,384",678,"1,476",312,"1,153"
Legislators,14,N/A,9,N/A,5,N/A
Advertising and promotions managers,45,N/A,19,N/A,27,N/A
Marketing and sales managers,"1,109","1,600",591,"1,895",518,"1,393"
Public relations and fundraising managers,72,"1,416",22,N/A,50,"1,399"
Administrative services managers,154,"1,235",93,"1,277",61,"1,084"
Computer and information systems managers,629,"1,984",439,"2,019",190,"1,892"
Financial managers,"1,142","1,447",523,"1,897",619,"1,207"
Compensation and benefits managers,23,N/A,7,N/A,15,N/A
Human resources managers,299,"1,592",69,"1,829",230,"1,538"
Training and development managers,44,N/A,19,N/A,25,N/A
Industrial production managers,270,"1,472",208,"1,469",62,"1,497"
Purchasing managers,214,"1,539",129,"1,657",84,"1,390"
"Transportation, storage, and distribution managers",261,"1,160",213,"1,238",49,N/A
"Farmers, ranchers, and other agricultural managers",114,987,94,"1,162",20,N/A
Construction managers,610,"1,468",539,"1,511",71,"1,210"
Education administrators,811,"1,371",276,"1,467",536,"1,335"
Architectural and engineering managers,148,"2,471",128,"2,457",20,N/A
Food service managers,785,863,420,964,365,719
Funeral service managers,3,N/A,2,N/A,1,N/A
Gaming managers,18,N/A,10,N/A,9,N/A
Lodging managers,116,975,61,"1,096",55,894
Medical and health services managers,578,"1,478",169,"1,828",409,"1,362"
Natural sciences managers,12,N/A,9,N/A,3,N/A
Postmasters and mail superintendents,28,N/A,13,N/A,14,N/A
"Property, real estate, and community association managers",438,954,214,"1,168",224,849
Social and community service managers,403,"1,243",143,"1,452",260,"1,156"
Emergency management directors,9,N/A,6,N/A,3,N/A
"Managers, all other","3,497","1,533","2,088","1,725","1,409","1,317"
Business and financial operations occupations,"6,748","1,285","3,109","1,468","3,639","1,148"
"Agents and business managers of artists, performers, and athletes",28,N/A,13,N/A,15,N/A
"Buyers and purchasing agents, farm products",7,N/A,6,N/A,1,N/A
"Wholesale and retail buyers, except farm products",162,979,87,982,76,977
"Purchasing agents, except wholesale, retail, and farm products",248,"1,170",134,"1,202",113,"1,081"
"Claims adjusters, appraisers, examiners, and investigators",299,"1,103",104,"1,277",195,972
Compliance officers,271,"1,346",105,"1,561",165,"1,264"
Cost estimators,113,"1,254",100,"1,264",13,N/A
Human resources workers,680,"1,203",186,"1,325",494,"1,149"
"Compensation, benefits, and job analysis specialists",46,N/A,14,N/A,32,N/A
Training and development specialists,120,"1,127",51,"1,249",68,968
Logisticians,152,"1,093",107,"1,149",45,N/A
Management analysts,692,"1,622",389,"1,870",303,"1,517"
"Meeting, convention, and event planners",116,"1,023",28,N/A,89,"1,018"
Fundraisers,85,"1,330",33,N/A,52,"1,229"
Market research analysts and marketing specialists,281,"1,363",130,"1,688",152,"1,228"
"Business operations specialists, all other",248,"1,283",100,"1,540",148,"1,193"
Accountants and auditors,"1,683","1,221",670,"1,419","1,013","1,141"
Appraisers and assessors of real estate,46,N/A,24,N/A,23,N/A
Budget analysts,40,N/A,19,N/A,21,N/A
Credit analysts,26,N/A,9,N/A,18,N/A
Financial analysts,307,"1,613",203,"1,763",104,"1,386"
Personal financial advisors,448,"1,618",296,"1,905",152,"1,232"
Insurance underwriters,116,"1,169",57,"1,338",59,"1,142"
Financial examiners,20,N/A,10,N/A,10,N/A
Credit counselors and loan officers,366,"1,235",173,"1,542",193,"1,020"
"Tax examiners and collectors, and revenue agents",49,N/A,18,N/A,31,N/A
Tax preparers,46,N/A,20,N/A,26,N/A
"Financial specialists, all other",50,"1,209",24,N/A,26,N/A
Professional and related occupations,"29,423","1,237","13,149","1,493","16,274","1,085"
Computer and mathematical occupations,"4,947","1,579","3,668","1,658","1,279","1,353"
Computer and information research scientists,20,N/A,13,N/A,6,N/A
Computer systems analysts,623,"1,461",368,"1,580",255,"1,289"
Information security analysts,128,"1,758",103,"1,875",25,N/A
Computer programmers,425,"1,586",343,"1,613",82,"1,463"
"Software developers, applications and systems software","1,714","1,894","1,379","1,920",335,"1,718"
Web developers,144,"1,470",88,"1,633",56,"1,150"
Computer support specialists,486,"1,192",365,"1,223",121,"1,103"
Database administrators,96,"1,642",67,"1,752",29,N/A
Network and computer systems administrators,194,"1,447",144,"1,541",50,"1,233"
Computer network architects,104,"1,883",95,"1,901",10,N/A
"Computer occupations, all other",721,"1,277",542,"1,365",179,"1,148"
Actuaries,28,N/A,21,N/A,7,N/A
Mathematicians,2,N/A,1,N/A,1,N/A
Operations research analysts,153,"1,512",86,"1,753",67,"1,188"
Statisticians,90,"1,456",44,N/A,46,N/A
Miscellaneous mathematical science occupations,18,N/A,10,N/A,8,N/A
Architecture and engineering occupations,"3,011","1,550","2,559","1,589",452,"1,339"
